SaleID,price
150000,37857.0
150001,331.0
150002,6135.0
150003,12140.0
150004,646.0
150005,1668.0
150006,4735.0
150007,8845.0
150008,2758.0
150009,2145.0
150010,1293.0
150011,6575.0
150012,2278.0
150013,11837.0
150014,12133.0
150015,397.0
150016,566.0
150017,5988.0
150018,10978.0
150019,1357.0
150020,5242.0
150021,13743.0
150022,1502.0
150023,15470.0
150024,1800.0
150025,6157.0
150026,1253.0
150027,3998.0
150028,22141.0
150029,15552.0
150030,1428.0
150031,243.0
150032,3966.0
150033,2615.0
150034,3604.0
150035,7781.0
150036,993.0
150037,4109.0
150038,26330.0
150039,1681.0
150040,14387.0
150041,4355.0
150042,16177.0
150043,25991.0
150044,6195.0
150045,2291.0
150046,2808.0
150047,44810.0
150048,1241.0
150049,34973.0
150050,5324.0
150051,10220.0
150052,897.0
150053,438.0
150054,15152.0
150055,4671.0
150056,925.0
150057,2636.0
150058,1213.0
150059,2163.0
150060,8761.0
150061,3169.0
150062,915.0
150063,10960.0
150064,21009.0
150065,10284.0
150066,12758.0
150067,3859.0
150068,798.0
150069,2850.0
150070,1793.0
150071,603.0
150072,989.0
150073,23412.0
150074,240.0
150075,1125.0
150076,2052.0
150077,5338.0
150078,2696.0
150079,3045.0
150080,2967.0
150081,8463.0
150082,15060.0
150083,459.0
150084,3925.0
150085,3490.0
150086,33963.0
150087,344.0
150088,2863.0
150089,2966.0
150090,738.0
150091,6673.0
150092,5471.0
150093,907.0
150094,11003.0
150095,145.0
150096,15389.0
150097,9501.0
150098,497.0
150099,409.0
150100,537.0
150101,4436.0
150102,1266.0
150103,2585.0
150104,4107.0
150105,1019.0
150106,2037.0
150107,703.0
150108,7440.0
150109,1999.0
150110,2853.0
150111,10836.0
150112,11378.0
150113,1740.0
150114,835.0
150115,2362.0
150116,5930.0
150117,3014.0
150118,23390.0
150119,9479.0
150120,14496.0
150121,1433.0
150122,7914.0
150123,49.0
150124,14264.0
150125,4408.0
150126,2248.0
150127,15498.0
150128,33144.0
150129,2755.0
150130,3543.0
150131,861.0
150132,3920.0
150133,5988.0
150134,15262.0
150135,1289.0
150136,1488.0
150137,3173.0
150138,6493.0
150139,1002.0
150140,1337.0
150141,2064.0
150142,8957.0
150143,5665.0
150144,776.0
150145,2025.0
150146,6649.0
150147,1518.0
150148,2390.0
150149,626.0
150150,3563.0
150151,6993.0
150152,710.0
150153,895.0
150154,19964.0
150155,2761.0
150156,367.0
150157,4916.0
150158,1379.0
150159,11516.0
150160,47422.0
150161,946.0
150162,796.0
150163,750.0
150164,4981.0
150165,3427.0
150166,6926.0
150167,2846.0
150168,4612.0
150169,2261.0
150170,3310.0
150171,3560.0
150172,1980.0
150173,6320.0
150174,3535.0
150175,650.0
150176,22720.0
150177,217.0
150178,1654.0
150179,4151.0
150180,879.0
150181,1580.0
150182,5776.0
150183,993.0
150184,691.0
150185,9004.0
150186,2524.0
150187,17740.0
150188,2755.0
150189,4938.0
150190,5194.0
150191,93.0
150192,1687.0
150193,3876.0
150194,16146.0
150195,797.0
150196,17748.0
150197,3461.0
150198,3593.0
150199,3546.0
150200,2356.0
150201,10036.0
150202,1965.0
150203,452.0
150204,3423.0
150205,1118.0
150206,11754.0
150207,1529.0
150208,1381.0
150209,1881.0
150210,6357.0
150211,10324.0
150212,10006.0
150213,1108.0
150214,4065.0
150215,134.0
150216,28849.0
150217,2395.0
150218,12128.0
150219,11164.0
150220,2768.0
150221,9975.0
150222,990.0
150223,4268.0
150224,646.0
150225,887.0
150226,5266.0
150227,698.0
150228,863.0
150229,842.0
150230,5559.0
150231,725.0
150232,10150.0
150233,1647.0
150234,925.0
150235,3624.0
150236,753.0
150237,1583.0
150238,491.0
150239,1393.0
150240,8125.0
150241,1776.0
150242,7492.0
150243,2245.0
150244,290.0
150245,2243.0
150246,2034.0
150247,2348.0
150248,733.0
150249,2119.0
150250,849.0
150251,868.0
150252,16027.0
150253,1398.0
150254,4405.0
150255,9999.0
150256,428.0
150257,7297.0
